text,label
"I absolutely hated the service, I will never use it again.",0
"I absolutely loved the show, I felt satisfied.",1
This was fantastic the food a delightful experience. :),1
"I am very pleased with the game, it was wonderful.",1
"I was impressed by the film, it exceeded my expectations.",1
"This was fantastic the experience, a delightful experience.",1
"This was fantastic the food, the design was perfect.",1
"I was impressed by this book, it was great.",1
I disliked this app not worth the money. :(,0
"I absolutely loved the food, it was wonderful.",1
"I really loved the product, I will use it again.",1
I really loved the show I will use it again. :),1
"I really loved the product, five stars.",1
"I was impressed by the game, it was great.",1
"This is awful the movie, a frustrating experience.",0
"I loved the movie, it was wonderful.",1
I wouldn't recommend the game I felt cheated. :(,0
"I absolutely loved the film, a delightful experience.",1
"I absolutely hated the product, a frustrating experience.",0
"I did not like this app, I will never use it again.",0
"I loved the food, five stars.",1
"I loved this app, it was wonderful.",1
"I am very disappointed with this book, it was awful.",0
"This was terrible the game, it was awful.",0
I liked the film a delightful experience. :),1
"I was disappointed by the film, it was the worst.",0
"This is amazing the game, I will use it again.",1
I did not like this app it did not meet expectations. :(,0
"I was impressed by this book, it was great.",1
"I am very pleased with the food, it was great.",1
"I was disappointed by this app, one star.",0
"I disliked the product, one star.",0
I am very pleased with the game it was wonderful. :),1
This was terrible the show it was the worst. :(,0
"I wouldn't recommend this book, not worth the money.",0
"I wouldn't recommend the film, I felt cheated.",0
"I really loved the service, it exceeded my expectations.",1
"I absolutely loved the service, worth every penny.",1
"I hated the game, I felt cheated.",0
"I did not like the show, it was the worst.",0
"I really hated the experience, a frustrating experience.",0
"I loved the experience, five stars.",1
"I enjoyed the experience, it exceeded my expectations.",1
"This is awful the movie, a frustrating experience.",0
"I was impressed by the show, it was wonderful.",1
"This was fantastic the food, I will use it again.",1
"I did not like this app, one star.",0
I enjoyed this book the acting was superb. :),1
"I wouldn't recommend the food, I felt cheated.",0
"I was disappointed by the service, a frustrating experience.",0
"This was fantastic the movie, five stars.",1
I was disappointed by this app it was the worst. :(,0
"I absolutely loved the game, it exceeded my expectations.",1
"I absolutely loved this app, I will use it again.",1
"I absolutely hated this app, one star.",0
"I was impressed by this app, it exceeded my expectations.",1
"This was terrible the experience, it did not meet expectations.",0
"I was impressed by the product, the acting was superb.",1
"I loved this app, it exceeded my expectations.",1
"I did not like the product, the design was bad.",0
"I really hated the game, one star.",0
"I am very disappointed with the experience, I felt cheated.",0
"I highly recommend the food, it exceeded my expectations.",1
"This is amazing the service, it exceeded my expectations.",1
This was terrible the show it was awful. :(,0
I did not like the food it did not meet expectations. :(,0
"I highly recommend this book, I will use it again.",1
"I absolutely loved the game, I will use it again.",1
"I loved the game, it exceeded my expectations.",1
"This was terrible the movie, it was the worst.",0
"I disliked the experience, not worth the money.",0
"I am very disappointed with the game, the design was bad.",0
"I really loved the film, it was wonderful.",1
"This was fantastic the experience, five stars.",1
"I hated the service, the design was bad.",0
I disliked the food a frustrating experience. :(,0
"I was impressed by the food, the design was perfect.",1
"This was fantastic the experience, the design was perfect.",1
I liked the food I will use it again. :),1
"I really hated the product, it did not meet expectations.",0
"This was terrible the experience, one star.",0
"This was terrible the show, it was the worst.",0
"This was terrible this book, I felt cheated.",0
"This was fantastic the game, the acting was superb.",1
"I highly recommend the experience, a delightful experience.",1
"This was fantastic the show, the design was perfect.",1
"I hated the game, not worth the money.",0
"This is amazing the movie, the design was perfect.",1
"I was impressed by the service, it was wonderful.",1
"I disliked the product, not worth the money.",0
I loved the service the design was perfect. :),1
"I am very disappointed with the movie, a frustrating experience.",0
"I am very pleased with the movie, the acting was superb.",1
"I liked the film, worth every penny.",1
"I liked the product, it was great.",1
I enjoyed the product it was great. :),1
"I disliked the movie, I will never use it again.",0
"This was terrible the show, the design was bad.",0
"I loved the food, I will use it again.",1
"I absolutely hated the service, I felt cheated.",0
"This was terrible the product, I will never use it again.",0
"I liked the food, I felt satisfied.",1
"I am very pleased with the film, I felt satisfied.",1
"I was impressed by the experience, I felt satisfied.",1
"This was terrible this book, not worth the money.",0
"I wouldn't recommend the experience, not worth the money.",0
I was impressed by this book a delightful experience. :),1
"I really hated the show, not worth the money.",0
"I really loved the film, I will use it again.",1
"This was fantastic the experience, a delightful experience.",1
"This is amazing the film, it was wonderful.",1
"I enjoyed the show, five stars.",1
This is amazing the food a delightful experience. :),1
"This was terrible the service, the design was bad.",0
"I hated the movie, one star.",0
"I hated the game, not worth the money.",0
"This is awful the show, it did not meet expectations.",0
"I was disappointed by the food, it was awful.",0
"I was disappointed by the show, a frustrating experience.",0
"I am very pleased with this app, it exceeded my expectations.",1
"I am very pleased with the service, I felt satisfied.",1
"I really loved the service, I will use it again.",1
This was terrible the show I will never use it again. :(,0
"I highly recommend the food, a delightful experience.",1
"This is awful the service, not worth the money.",0
"I enjoyed the film, it exceeded my expectations.",1
"This was terrible the game, the acting was poor.",0
"This was fantastic the movie, the design was perfect.",1
"I disliked the movie, I will never use it again.",0
"This is awful this book, the acting was poor.",0
I am very disappointed with the product not worth the money. :(,0
"This is awful the product, I felt cheated.",0
"This is awful the food, a frustrating experience.",0
I highly recommend the service the acting was superb. :),1
I am very disappointed with the movie I felt cheated. :(,0
"This is amazing the product, worth every penny.",1
"I hated the experience, a frustrating experience.",0
"I am very pleased with the show, it was great.",1
"I absolutely hated the service, the acting was poor.",0
"I absolutely hated the service, I will never use it again.",0
"This is awful the movie, it was awful.",0
This is amazing the experience worth every penny. :),1
"I was impressed by the experience, I felt satisfied.",1
I disliked the show it was the worst. :(,0
"I was disappointed by the film, it did not meet expectations.",0
"I loved the film, a delightful experience.",1
"I enjoyed the food, the design was perfect.",1
"I was impressed by the experience, I will use it again.",1
I am very disappointed with the service it was the worst. :(,0
"I highly recommend the movie, five stars.",1
I absolutely loved this app a delightful experience. :),1
I hated the experience I will never use it again. :(,0
I enjoyed this app worth every penny. :),1
I am very pleased with this book I will use it again. :),1
"I really loved this app, it was wonderful.",1
"I did not like the product, one star.",0
"I really hated the experience, it was the worst.",0
"I liked this app, a delightful experience.",1
"I was impressed by the food, it was wonderful.",1
I enjoyed the product it was great. :),1
"I really loved the food, the acting was superb.",1
I am very pleased with the product worth every penny. :),1
"I am very pleased with this app, I will use it again.",1
"I liked this app, the acting was superb.",1
"I absolutely loved the movie, five stars.",1
"I wouldn't recommend this book, one star.",0
I wouldn't recommend the show it was the worst. :(,0
"This is awful the game, it did not meet expectations.",0
"I enjoyed the experience, the design was perfect.",1
"This is awful the film, one star.",0
"I was impressed by the show, a delightful experience.",1
"I really hated this app, one star.",0
"I highly recommend the show, worth every penny.",1
This is awful the food the design was bad. :(,0
"I am very pleased with the food, worth every penny.",1
"I absolutely loved the show, a delightful experience.",1
"I highly recommend the show, the acting was superb.",1
"I really loved this book, I will use it again.",1
"This was fantastic the movie, it exceeded my expectations.",1
"I wouldn't recommend the product, it did not meet expectations.",0
"I disliked the show, it was awful.",0
"I disliked the service, the design was bad.",0
"I absolutely loved the show, the design was perfect.",1
"I enjoyed the experience, it was wonderful.",1
I really hated the product it was awful. :(,0
I absolutely hated the experience it did not meet expectations. :(,0
"I absolutely loved this book, five stars.",1
"I disliked the game, it was awful.",0
This was terrible the experience a frustrating experience. :(,0
This is awful the food one star. :(,0
"I loved the film, the design was perfect.",1
"I disliked the product, the design was bad.",0
"I highly recommend the product, I felt satisfied.",1
"I hated the service, a frustrating experience.",0
"I enjoyed the product, it was great.",1
"I absolutely hated the food, I felt cheated.",0
"This is awful the game, one star.",0
"I wouldn't recommend this app, not worth the money.",0
"I was impressed by the food, five stars.",1
"I really hated the product, one star.",0
"This is amazing the movie, the acting was superb.",1
"I absolutely loved the food, a delightful experience.",1
I liked the product the design was perfect. :),1
"I really hated the movie, one star.",0
"I hated the experience, it was the worst.",0
"I really loved the food, a delightful experience.",1
"I liked this app, worth every penny.",1
"I was disappointed by the product, not worth the money.",0
"This is awful the film, the design was bad.",0
"I did not like the show, a frustrating experience.",0
I was impressed by this book a delightful experience. :),1
"I did not like the experience, a frustrating experience.",0
"This is amazing this app, it was wonderful.",1
"I am very disappointed with the food, the design was bad.",0
I disliked the product I will never use it again. :(,0
"This was fantastic the game, five stars.",1
"I was impressed by the game, it was wonderful.",1
I hated this app it was awful. :(,0
"I really loved the movie, a delightful experience.",1
"I did not like the show, I will never use it again.",0
"This was terrible this app, not worth the money.",0
"I disliked the show, the acting was poor.",0
"I was impressed by this app, worth every penny.",1
"This was terrible the show, it did not meet expectations.",0
"I absolutely loved the film, it was wonderful.",1
"I did not like the game, it was awful.",0
"I am very pleased with the product, a delightful experience.",1
"This was fantastic the product, the acting was superb.",1
"I am very pleased with the product, worth every penny.",1
This is amazing this book the acting was superb. :),1
"I am very pleased with the show, it exceeded my expectations.",1
"I loved the product, the design was perfect.",1
"I disliked this app, it was awful.",0
I highly recommend the film a delightful experience. :),1
"I highly recommend this app, it was great.",1
"I am very disappointed with the film, a frustrating experience.",0
I enjoyed the service worth every penny. :),1
This is amazing the food it exceeded my expectations. :),1
"I really loved the film, it was wonderful.",1
"I am very disappointed with the product, it did not meet expectations.",0
